M4A1-S,Chantico'sFire,FactoryNew,0.000224
M4A1-S,Chantico'sFire,MinimalWear,0.000256
M4A1-S,Chantico'sFire,Field-Tested,0.000736
M4A1-S,Chantico'sFire,Well-Worn,0.000224
M4A1-S,Chantico'sFire,Battle-Scarred,0.00176
PP-Bizon,JudgementofAnubis,FactoryNew,0.000224
PP-Bizon,JudgementofAnubis,MinimalWear,0.000256
PP-Bizon,JudgementofAnubis,Field-Tested,0.000736
PP-Bizon,JudgementofAnubis,Well-Worn,0.000224
PP-Bizon,JudgementofAnubis,Battle-Scarred,0.00176
UMP-45,PrimalSaber,FactoryNew,0.000746666666667
UMP-45,PrimalSaber,MinimalWear,0.000853333333333
UMP-45,PrimalSaber,Field-Tested,0.00245333333333
UMP-45,PrimalSaber,Well-Worn,0.000746666666667
UMP-45,PrimalSaber,Battle-Scarred,0.00586666666667
P250,Asiimov,MinimalWear,0.000992248062016
P250,Asiimov,Field-Tested,0.00285271317829
P250,Asiimov,Battle-Scarred,0.00682170542636
AUG,FleetFlock,MinimalWear,0.000992248062016
AUG,FleetFlock,Field-Tested,0.00285271317829
AUG,FleetFlock,Battle-Scarred,0.00682170542636
XM1014,BlackTie,Field-Tested,0.008648
XM1014,BlackTie,Well-Worn,0.002632
XM1014,BlackTie,Battle-Scarred,0.02068
Tec-9,Re-Entry,MinimalWear,0.00672842105263
Tec-9,Re-Entry,Field-Tested,0.0193442105263
Tec-9,Re-Entry,Well-Worn,0.00588736842105
SSG08,GhostCrusader,MinimalWear,0.00274924731183
SSG08,GhostCrusader,Field-Tested,0.00790408602151
SSG08,GhostCrusader,Well-Worn,0.00240559139785
SSG08,GhostCrusader,Battle-Scarred,0.0189010752688
GalilAR,Firefight,FactoryNew,0.0022372
GalilAR,Firefight,MinimalWear,0.0025568
GalilAR,Firefight,Field-Tested,0.0073508
GalilAR,Firefight,Well-Worn,0.0022372
GalilAR,Firefight,Battle-Scarred,0.017578
CZ75-Auto,RedAstor,MinimalWear,0.00274924731183
CZ75-Auto,RedAstor,Field-Tested,0.00790408602151
CZ75-Auto,RedAstor,Well-Worn,0.00240559139785
CZ75-Auto,RedAstor,Battle-Scarred,0.0189010752688
SG553,Atlas,FactoryNew,0.007992
SG553,Atlas,MinimalWear,0.00913371428571
SG553,Atlas,Field-Tested,0.0262594285714
SG553,Atlas,Well-Worn,0.007992
SG553,Atlas,Battle-Scarred,0.0627942857143
Sawed-Off,Fubar,Well-Worn,0.0128903225806
Sawed-Off,Fubar,Battle-Scarred,0.101281105991
P2000,Oceanic,FactoryNew,0.0085935483871
P2000,Oceanic,MinimalWear,0.00982119815668
P2000,Oceanic,Field-Tested,0.0282359447005
P2000,Oceanic,Battle-Scarred,0.0675207373272
MP9,Bioleak,FactoryNew,0.007992
MP9,Bioleak,MinimalWear,0.00913371428571
MP9,Bioleak,Field-Tested,0.0262594285714
MP9,Bioleak,Well-Worn,0.007992
MP9,Bioleak,Battle-Scarred,0.0627942857143
M249,Spectre,FactoryNew,0.007992
M249,Spectre,MinimalWear,0.00913371428571
M249,Spectre,Field-Tested,0.0262594285714
M249,Spectre,Well-Worn,0.007992
M249,Spectre,Battle-Scarred,0.0627942857143
G3SG1,OrangeCrash,FactoryNew,0.007992
G3SG1,OrangeCrash,MinimalWear,0.00913371428571
G3SG1,OrangeCrash,Field-Tested,0.0262594285714
G3SG1,OrangeCrash,Well-Worn,0.007992
G3SG1,OrangeCrash,Battle-Scarred,0.0627942857143
DualBerettas,Ventilators,FactoryNew,0.01776
DualBerettas,Ventilators,MinimalWear,0.0202971428571
DualBerettas,Ventilators,Field-Tested,0.0583542857143
DualBerettas,Ventilators,Well-Worn,0.01776
