Bayonet,vanilla,vanilla,0.000433333333333,1
GutKnife,vanilla,vanilla,0.000433333333333,1
FlipKnife,vanilla,vanilla,0.000433333333333,1
M9Bayonet,vanilla,vanilla,0.000433333333333,1
Karambit,vanilla,vanilla,0.000433333333333,1
BowieKnife,vanilla,vanilla,0.000433333333333,1
AUG,Chameleon,MinimalWear,0.000275268817204,2
AUG,Chameleon,Field-Tested,0.000791397849462,2
AUG,Chameleon,Well-Worn,0.000240860215054,2
AUG,Chameleon,Battle-Scarred,0.00189247311828,2
AWP,Asiimov,Field-Tested,0.000865882352941,2
AWP,Asiimov,Well-Worn,0.000263529411765,2
AWP,Asiimov,Battle-Scarred,0.00207058823529,2
Nova,Antique,MinimalWear,0.00275268817204,3
Nova,Antique,Field-Tested,0.00791397849462,3
P90,Trigon,MinimalWear,0.00121904761905,3
P90,Trigon,Well-Worn,0.00106666666667,3
P90,Trigon,Battle-Scarred,0.00838095238095,3
AK-47,Redline,MinimalWear,0.000917562724014,3
AK-47,Redline,Field-Tested,0.00263799283154,3
AK-47,Redline,Well-Worn,0.000802867383513,3
AK-47,Redline,Battle-Scarred,0.0063082437276,3
USP-S,Guardian,FactoryNew,0.00735921052632,4
USP-S,Guardian,MinimalWear,0.00841052631579,4
USP-S,Guardian,Field-Tested,0.0241802631579,4
FAMAS,Sergeant,MinimalWear,0.00507301587302,4
FAMAS,Sergeant,Battle-Scarred,0.034876984127,4
SG553,Pulse,MinimalWear,0.00371627906977,4
SG553,Pulse,Field-Tested,0.0106843023256,4
SG553,Pulse,Battle-Scarred,0.0255494186047,4
MAC-10,Heat,FactoryNew,0.00300698924731,4
MAC-10,Heat,MinimalWear,0.00343655913978,4
MAC-10,Heat,Field-Tested,0.00988010752688,4
MAC-10,Heat,Battle-Scarred,0.023626344086,4
MAG-7,HeavenGuard,FactoryNew,0.03108,5
MAG-7,HeavenGuard,MinimalWear,0.03552,5
MAG-7,HeavenGuard,Field-Tested,0.10212,5
MAG-7,HeavenGuard,Well-Worn,0.03108,5
Tec-9,Sandstorm,MinimalWear,0.0420631578947,5
Tec-9,Sandstorm,Field-Tested,0.120931578947,5
Tec-9,Sandstorm,Well-Worn,0.0368052631579,5
Negev,Terrain,FactoryNew,0.03108,5
Negev,Terrain,MinimalWear,0.03552,5
Negev,Terrain,Field-Tested,0.10212,5
Negev,Terrain,Well-Worn,0.03108,5
UMP-45,Corporal,FactoryNew,0.0150387096774,5
UMP-45,Corporal,MinimalWear,0.0171870967742,5
UMP-45,Corporal,Field-Tested,0.0494129032258,5
UMP-45,Corporal,Battle-Scarred,0.118161290323,5
